,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
0,14.0,15.0,32.0,9.0,12.0,1.0,10.0,1.0,1.0,1
1,10.0,16.0,26.0,11.0,17.0,3.0,8.0,1.0,1.0,1
2,8.0,14.0,26.0,13.0,19.0,3.0,7.0,1.0,1.0,1
3,10.0,12.0,27.0,10.0,17.0,3.0,9.0,1.0,1.0,1
4,9.0,13.0,26.0,10.0,19.0,3.0,8.0,1.0,1.0,1
5,7.0,10.0,26.0,14.0,19.0,4.0,8.0,1.0,17.0,1
6,9.0,13.0,26.0,9.0,19.0,3.0,9.0,1.0,1.0,1
7,10.0,12.0,26.0,8.0,20.0,3.0,9.0,1.0,1.0,1
8,12.0,16.0,26.0,11.0,13.0,3.0,9.0,1.0,1.0,1
9,9.0,11.0,26.0,11.0,19.0,3.0,9.0,1.0,7.0,1
10,7.0,10.0,25.0,13.0,20.0,4.0,8.0,1.0,16.0,1
11,10.0,10.0,27.0,10.0,19.0,4.0,10.0,1.0,1.0,1
12,7.0,11.0,25.0,12.0,20.0,4.0,8.0,1.0,16.0,1
13,9.0,11.0,26.0,10.0,20.0,3.0,9.0,1.0,11.0,1
14,10.0,10.0,26.0,11.0,20.0,3.0,10.0,1.0,1.0,1
15,10.0,11.0,26.0,10.0,20.0,3.0,9.0,1.0,1.0,1
16,10.0,10.0,27.0,9.0,19.0,4.0,10.0,1.0,1.0,1
17,16.0,18.0,28.0,6.0,9.0,1.0,12.0,1.0,1.0,1
18,12.0,16.0,27.0,9.0,14.0,1.0,11.0,1.0,1.0,1
19,9.0,12.0,26.0,14.0,17.0,3.0,9.0,1.0,5.0,1
20,9.0,11.0,26.0,12.0,17.0,3.0,10.0,1.0,12.0,1
21,12.0,20.0,27.0,1.0,13.0,1.0,11.0,1.0,1.0,1
22,9.0,10.0,26.0,10.0,18.0,4.0,10.0,1.0,1.0,1
23,9.0,11.0,26.0,11.0,19.0,4.0,10.0,1.0,1.0,1
24,9.0,13.0,25.0,9.0,18.0,3.0,9.0,1.0,1.0,1
25,10.0,11.0,26.0,10.0,19.0,4.0,10.0,1.0,1.0,1
26,10.0,12.0,25.0,12.0,17.0,4.0,9.0,1.0,1.0,1
27,9.0,11.0,25.0,11.0,19.0,3.0,9.0,1.0,1.0,1
28,10.0,9.0,26.0,12.0,20.0,3.0,10.0,1.0,1.0,1
29,10.0,12.0,25.0,10.0,18.0,4.0,10.0,1.0,1.0,1
30,10.0,10.0,26.0,11.0,19.0,4.0,10.0,1.0,9.0,1
31,9.0,11.0,25.0,9.0,20.0,3.0,10.0,1.0,1.0,1
32,10.0,11.0,25.0,10.0,19.0,4.0,10.0,1.0,14.0,1
33,9.0,9.0,25.0,11.0,21.0,4.0,10.0,1.0,4.0,1
34,10.0,10.0,26.0,11.0,18.0,3.0,10.0,1.0,1.0,1
35,7.0,13.0,25.0,10.0,17.0,3.0,10.0,1.0,1.0,1
36,12.0,16.0,26.0,11.0,12.0,3.0,10.0,2.0,1.0,1
37,10.0,10.0,25.0,11.0,19.0,4.0,10.0,1.0,1.0,1
38,16.0,17.0,28.0,2.0,12.0,1.0,13.0,1.0,1.0,1
39,16.0,17.0,28.0,2.0,12.0,1.0,13.0,1.0,1.0,1
40,10.0,10.0,25.0,9.0,19.0,4.0,10.0,1.0,1.0,1
41,9.0,10.0,25.0,10.0,20.0,4.0,10.0,1.0,1.0,1
42,10.0,12.0,25.0,11.0,17.0,4.0,10.0,1.0,1.0,1
43,16.0,15.0,28.0,5.0,12.0,1.0,13.0,1.0,1.0,1
44,10.0,10.0,25.0,9.0,18.0,4.0,10.0,1.0,19.0,1
45,12.0,14.0,25.0,11.0,13.0,3.0,11.0,1.0,1.0,1
46,11.0,12.0,25.0,9.0,17.0,3.0,11.0,1.0,11.0,1
47,22.0,16.0,27.0,5.0,11.0,1.0,14.0,1.0,7.0,1
48,16.0,12.0,27.0,5.0,13.0,1.0,14.0,1.0,1.0,1
49,11.0,14.0,24.0,10.0,13.0,4.0,11.0,1.0,1.0,1
50,17.0,15.0,27.0,3.0,12.0,1.0,14.0,1.0,11.0,1
51,12.0,12.0,24.0,10.0,15.0,4.0,12.0,1.0,7.0,1
52,10.0,13.0,21.0,9.0,18.0,3.0,11.0,1.0,1.0,1
53,11.0,12.0,21.0,10.0,18.0,3.0,11.0,1.0,1.0,1
54,10.0,12.0,21.0,10.0,19.0,3.0,11.0,1.0,6.0,1
55,10.0,9.0,20.0,10.0,23.0,3.0,11.0,1.0,16.0,1
56,2.0,11.0,25.0,9.0,19.0,4.0,9.0,1.0,20.0,1
57,10.0,11.0,25.0,10.0,18.0,4.0,9.0,1.0,1.0,1
58,9.0,14.0,27.0,9.0,19.0,4.0,8.0,1.0,1.0,1
59,9.0,13.0,27.0,9.0,18.0,3.0,9.0,1.0,7.0,1
60,12.0,14.0,26.0,9.0,17.0,1.0,10.0,1.0,1.0,1
61,13.0,15.0,26.0,11.0,11.0,1.0,10.0,8.0,1.0,1
62,15.0,14.0,28.0,6.0,12.0,2.0,13.0,1.0,7.0,1
63,16.0,17.0,28.0,5.0,9.0,1.0,13.0,1.0,1.0,1
64,15.0,14.0,27.0,7.0,13.0,1.0,13.0,1.0,5.0,1
65,14.0,15.0,26.0,9.0,13.0,1.0,12.0,1.0,1.0,1
66,15.0,12.0,27.0,6.0,14.0,1.0,14.0,1.0,11.0,1
67,15.0,12.0,27.0,6.0,15.0,1.0,14.0,1.0,11.0,1
68,15.0,12.0,26.0,7.0,14.0,2.0,14.0,1.0,11.0,1
69,17.0,13.0,26.0,6.0,13.0,1.0,15.0,1.0,2.0,1
70,7.0,20.0,27.0,15.0,12.0,1.0,6.0,1.0,8.0,2
