RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
14,15,32,9,12,1,10,1,1,1
10,16,26,11,17,3,8,1,1,1
8,14,26,13,19,3,7,1,1,1
10,12,27,10,17,3,9,1,1,1
9,13,26,10,19,3,8,1,1,1
7,10,26,14,19,4,8,1,17,1
9,13,26,9,19,3,9,1,1,1
10,12,26,8,20,3,9,1,1,1
12,16,26,11,13,3,9,1,1,1
9,11,26,11,19,3,9,1,7,1
7,10,25,13,20,4,8,1,16,1
10,10,27,10,19,4,10,1,1,1
7,11,25,12,20,4,8,1,16,1
9,11,26,10,20,3,9,1,11,1
10,10,26,11,20,3,10,1,1,1
10,11,26,10,20,3,9,1,1,1
10,10,27,9,19,4,10,1,1,1
16,18,28,6,9,1,12,1,1,1
12,16,27,9,14,1,11,1,1,1
9,12,26,14,17,3,9,1,5,1
9,11,26,12,17,3,10,1,12,1
12,20,27,1,13,1,11,1,1,1
9,10,26,10,18,4,10,1,1,1
9,11,26,11,19,4,10,1,1,1
9,13,25,9,18,3,9,1,1,1
10,11,26,10,19,4,10,1,1,1
10,12,25,12,17,4,9,1,1,1
9,11,25,11,19,3,9,1,1,1
10,9,26,12,20,3,10,1,1,1
10,12,25,10,18,4,10,1,1,1
10,10,26,11,19,4,10,1,9,1
9,11,25,9,20,3,10,1,1,1
10,11,25,10,19,4,10,1,14,1
9,9,25,11,21,4,10,1,4,1
10,10,26,11,18,3,10,1,1,1
7,13,25,10,17,3,10,1,1,1
12,16,26,11,12,3,10,2,1,1
10,10,25,11,19,4,10,1,1,1
16,17,28,2,12,1,13,1,1,1
16,17,28,2,12,1,13,1,1,1
10,10,25,9,19,4,10,1,1,1
9,10,25,10,20,4,10,1,1,1
10,12,25,11,17,4,10,1,1,1
16,15,28,5,12,1,13,1,1,1
10,10,25,9,18,4,10,1,19,1
12,14,25,11,13,3,11,1,1,1
11,12,25,9,17,3,11,1,11,1
22,16,27,5,11,1,14,1,7,1
16,12,27,5,13,1,14,1,1,1
11,14,24,10,13,4,11,1,1,1
17,15,27,3,12,1,14,1,11,1
12,12,24,10,15,4,12,1,7,1
10,13,21,9,18,3,11,1,1,1
11,12,21,10,18,3,11,1,1,1
10,12,21,10,19,3,11,1,6,1
10,9,20,10,23,3,11,1,16,1
2,11,25,9,19,4,9,1,20,1
10,11,25,10,18,4,9,1,1,1
9,14,27,9,19,4,8,1,1,1
9,13,27,9,18,3,9,1,7,1
12,14,26,9,17,1,10,1,1,1
13,15,26,11,11,1,10,8,1,1
15,14,28,6,12,2,13,1,7,1
16,17,28,5,9,1,13,1,1,1
15,14,27,7,13,1,13,1,5,1
14,15,26,9,13,1,12,1,1,1
15,12,27,6,14,1,14,1,11,1
15,12,27,6,15,1,14,1,11,1
15,12,26,7,14,2,14,1,11,1
17,13,26,6,13,1,15,1,2,1
7,20,27,15,12,1,6,1,8,2
11,15,28,10,13,3,9,1,21,2
7,12,26,13,19,4,8,1,1,2
8,13,26,13,18,4,8,1,1,2
7,12,26,13,19,4,8,1,1,2
7,12,26,13,19,4,8,1,1,2
8,14,26,13,15,4,8,1,1,2
8,11,26,13,18,4,8,1,1,2
7,16,26,10,18,2,8,1,9,2
7,11,26,17,18,4,8,1,1,2
7,11,26,19,17,4,8,1,1,2
7,13,25,12,20,4,8,1,1,2
8,13,26,10,18,4,8,1,1,2
7,12,26,13,18,4,8,1,6,2
5,17,23,18,15,6,5,1,1,2
8,13,26,12,17,3,9,1,1,2
7,13,25,12,20,2,8,1,1,2
8,13,25,13,17,4,8,1,7,2
8,11,25,12,18,4,8,1,1,2
8,9,25,16,20,4,8,1,6,2
11,11,27,9,15,4,11,1,14,2
7,11,25,12,19,3,9,1,1,2
7,12,25,13,20,1,9,1,12,2
7,13,24,12,19,3,9,1,1,2
8,10,24,12,20,4,9,1,1,2
11,13,25,12,15,3,10,1,1,2
11,12,26,8,15,4,12,1,10,2
9,8,24,9,22,4,11,1,16,2
9,10,21,15,20,4,10,1,1,2
10,11,22,12,18,4,10,2,1,2
8,10,21,12,20,3,10,2,14,2
9,8,20,14,18,4,12,1,1,2
10,10,20,6,23,2,12,1,13,2
23,15,23,4,5,1,19,1,1,2
