,Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
0,1,14.0,15.0,32.0,9.0,12.0,1.0,10.0,1.0,1.0,1
1,1,10.0,16.0,26.0,11.0,17.0,3.0,8.0,1.0,1.0,1
2,1,8.0,14.0,26.0,13.0,19.0,3.0,7.0,1.0,1.0,1
3,1,10.0,12.0,27.0,10.0,17.0,3.0,9.0,1.0,1.0,1
4,1,9.0,13.0,26.0,10.0,19.0,3.0,8.0,1.0,1.0,1
5,1,7.0,10.0,26.0,14.0,19.0,4.0,8.0,1.0,17.0,1
6,1,9.0,13.0,26.0,9.0,19.0,3.0,9.0,1.0,1.0,1
7,1,10.0,12.0,26.0,8.0,20.0,3.0,9.0,1.0,1.0,1
8,1,12.0,16.0,26.0,11.0,13.0,3.0,9.0,1.0,1.0,1
9,1,9.0,11.0,26.0,11.0,19.0,3.0,9.0,1.0,7.0,1
10,1,7.0,10.0,25.0,13.0,20.0,4.0,8.0,1.0,16.0,1
11,1,10.0,10.0,27.0,10.0,19.0,4.0,10.0,1.0,1.0,1
12,1,7.0,11.0,25.0,12.0,20.0,4.0,8.0,1.0,16.0,1
13,1,9.0,11.0,26.0,10.0,20.0,3.0,9.0,1.0,11.0,1
14,1,10.0,10.0,26.0,11.0,20.0,3.0,10.0,1.0,1.0,1
15,1,10.0,11.0,26.0,10.0,20.0,3.0,9.0,1.0,1.0,1
16,1,10.0,10.0,27.0,9.0,19.0,4.0,10.0,1.0,1.0,1
17,1,16.0,18.0,28.0,6.0,9.0,1.0,12.0,1.0,1.0,1
18,1,12.0,16.0,27.0,9.0,14.0,1.0,11.0,1.0,1.0,1
19,1,9.0,12.0,26.0,14.0,17.0,3.0,9.0,1.0,5.0,1
20,1,9.0,11.0,26.0,12.0,17.0,3.0,10.0,1.0,12.0,1
21,1,12.0,20.0,27.0,1.0,13.0,1.0,11.0,1.0,1.0,1
22,1,9.0,10.0,26.0,10.0,18.0,4.0,10.0,1.0,1.0,1
23,1,9.0,11.0,26.0,11.0,19.0,4.0,10.0,1.0,1.0,1
24,1,9.0,13.0,25.0,9.0,18.0,3.0,9.0,1.0,1.0,1
25,1,10.0,11.0,26.0,10.0,19.0,4.0,10.0,1.0,1.0,1
26,1,10.0,12.0,25.0,12.0,17.0,4.0,9.0,1.0,1.0,1
27,1,9.0,11.0,25.0,11.0,19.0,3.0,9.0,1.0,1.0,1
