sepal_length,sepal_width,petal_length,petal_width,class
8,21,3,2,Iris-setosa
6,14,3,2,Iris-setosa
4,17,2,2,Iris-setosa
3,15,3,2,Iris-setosa
7,22,3,2,Iris-setosa
10,26,4,5,Iris-setosa
3,19,3,3,Iris-setosa
7,19,3,2,Iris-setosa
1,12,3,2,Iris-setosa
6,15,3,1,Iris-setosa
10,23,3,2,Iris-setosa
5,19,4,2,Iris-setosa
5,14,3,1,Iris-setosa
1,14,1,1,Iris-setosa
14,27,2,2,Iris-setosa
13,32,3,5,Iris-setosa
10,26,2,5,Iris-setosa
8,21,3,3,Iris-setosa
13,24,4,3,Iris-setosa
8,24,3,3,Iris-setosa
10,19,4,2,Iris-setosa
8,23,3,5,Iris-setosa
3,22,1,2,Iris-setosa
8,18,4,6,Iris-setosa
5,19,5,2,Iris-setosa
7,14,4,2,Iris-setosa
7,19,4,5,Iris-setosa
9,21,3,2,Iris-setosa
9,19,3,2,Iris-setosa
4,17,4,2,Iris-setosa
5,15,4,2,Iris-setosa
10,19,3,5,Iris-setosa
9,28,3,1,Iris-setosa
11,30,3,2,Iris-setosa
6,15,3,1,Iris-setosa
7,17,2,2,Iris-setosa
11,21,2,2,Iris-setosa
6,15,3,1,Iris-setosa
1,14,2,2,Iris-setosa
8,19,3,2,Iris-setosa
7,21,2,3,Iris-setosa
2,5,2,3,Iris-setosa
1,17,2,2,Iris-setosa
7,21,4,7,Iris-setosa
8,24,5,5,Iris-setosa
5,14,3,3,Iris-setosa
8,24,4,2,Iris-setosa
3,17,3,2,Iris-setosa
9,23,3,2,Iris-setosa
7,18,3,2,Iris-setosa
25,17,21,18,Iris-versicolor
19,17,19,19,Iris-versicolor
24,15,22,19,Iris-versicolor
11,5,17,17,Iris-versicolor
20,11,20,19,Iris-versicolor
13,11,19,17,Iris-versicolor
18,18,21,21,Iris-versicolor
6,6,13,13,Iris-versicolor
21,12,20,17,Iris-versicolor
9,10,16,18,Iris-versicolor
7,1,14,13,Iris-versicolor
15,14,18,19,Iris-versicolor
16,3,17,13,Iris-versicolor
17,12,21,18,Iris-versicolor
12,12,15,17,Iris-versicolor
22,15,19,18,Iris-versicolor
12,14,19,19,Iris-versicolor
14,10,17,13,Iris-versicolor
17,3,19,19,Iris-versicolor
12,7,16,14,Iris-versicolor
15,17,21,23,Iris-versicolor
17,11,17,17,Iris-versicolor
18,7,22,19,Iris-versicolor
17,11,21,15,Iris-versicolor
19,12,18,17,Iris-versicolor
21,14,19,18,Iris-versicolor
23,11,21,18,Iris-versicolor
22,14,22,22,Iris-versicolor
16,12,19,19,Iris-versicolor
13,9,14,13,Iris-versicolor
11,6,16,14,Iris-versicolor
11,6,15,13,Iris-versicolor
14,10,16,15,Iris-versicolor
16,10,23,21,Iris-versicolor
10,14,19,19,Iris-versicolor
16,19,19,21,Iris-versicolor
22,15,21,19,Iris-versicolor
18,5,19,17,Iris-versicolor
12,14,17,17,Iris-versicolor
11,7,17,17,Iris-versicolor
11,9,19,15,Iris-versicolor
17,14,20,18,Iris-versicolor
14,9,17,15,Iris-versicolor
7,5,13,13,Iris-versicolor
12,10,18,17,Iris-versicolor
13,14,18,15,Iris-versicolor
13,12,18,17,Iris-versicolor
17,12,18,17,Iris-versicolor
8,7,11,14,Iris-versicolor
13,11,17,17,Iris-versicolor
18,18,28,32,Iris-virginica
14,10,23,25,Iris-virginica
25,14,27,27,Iris-virginica
18,12,25,23,Iris-virginica
20,14,27,29,Iris-virginica
30,14,31,27,Iris-virginica
6,7,19,22,Iris-virginica
27,12,29,23,Iris-virginica
22,7,27,23,Iris-virginica
26,22,28,32,Iris-virginica
20,17,23,26,Iris-virginica
19,10,24,25,Iris-virginica
23,14,25,27,Iris-virginica
13,7,22,26,Iris-virginica
14,11,23,31,Iris-virginica
19,17,24,30,Iris-virginica
20,14,25,23,Iris-virginica
31,24,31,29,Iris-virginica
31,9,32,30,Iris-virginica
16,3,22,19,Iris-virginica
24,17,26,30,Iris-virginica
12,11,22,26,Iris-virginica
31,11,31,26,Iris-virginica
18,10,22,23,Iris-virginica
22,18,26,27,Iris-virginica
26,17,28,23,Iris-virginica
17,11,21,23,Iris-virginica
17,14,22,23,Iris-virginica
19,11,25,27,Iris-virginica
26,14,27,21,Iris-virginica
28,11,28,25,Iris-virginica
32,24,30,26,Iris-virginica
19,11,25,29,Iris-virginica
18,11,23,19,Iris-virginica
17,9,25,18,Iris-virginica
31,14,28,30,Iris-virginica
18,19,25,31,Iris-virginica
19,15,25,23,Iris-virginica
16,14,21,23,Iris-virginica
24,15,24,27,Iris-virginica
22,15,25,31,Iris-virginica
24,15,23,30,Iris-virginica
14,10,23,25,Iris-virginica
23,17,27,30,Iris-virginica
22,18,26,32,Iris-virginica
22,14,23,30,Iris-virginica
18,7,22,25,Iris-virginica
20,14,23,26,Iris-virginica
17,19,24,30,Iris-virginica
15,14,23,23,Iris-virginica
