,sepal_length,sepal_width,petal_length,petal_width,class
0,1,3,0,0,Iris-setosa
1,0,2,0,0,Iris-setosa
2,0,2,0,0,Iris-setosa
3,0,2,0,0,Iris-setosa
4,0,3,0,0,Iris-setosa
5,1,3,0,0,Iris-setosa
6,0,2,0,0,Iris-setosa
7,0,2,0,0,Iris-setosa
8,0,1,0,0,Iris-setosa
9,0,2,0,0,Iris-setosa
10,1,3,0,0,Iris-setosa
11,0,2,0,0,Iris-setosa
12,0,2,0,0,Iris-setosa
13,0,2,0,0,Iris-setosa
14,2,4,0,0,Iris-setosa
15,1,4,0,0,Iris-setosa
16,1,3,0,0,Iris-setosa
17,1,3,0,0,Iris-setosa
18,1,3,0,0,Iris-setosa
19,1,3,0,0,Iris-setosa
20,1,2,0,0,Iris-setosa
21,1,3,0,0,Iris-setosa
22,0,3,0,0,Iris-setosa
23,1,2,0,0,Iris-setosa
24,0,2,0,0,Iris-setosa
25,0,2,0,0,Iris-setosa
26,0,2,0,0,Iris-setosa
27,1,3,0,0,Iris-setosa
28,1,2,0,0,Iris-setosa
29,0,2,0,0,Iris-setosa
30,0,2,0,0,Iris-setosa
31,1,2,0,0,Iris-setosa
32,1,4,0,0,Iris-setosa
33,1,4,0,0,Iris-setosa
34,0,2,0,0,Iris-setosa
35,0,2,0,0,Iris-setosa
36,1,3,0,0,Iris-setosa
37,0,2,0,0,Iris-setosa
38,0,2,0,0,Iris-setosa
39,1,2,0,0,Iris-setosa
40,0,3,0,0,Iris-setosa
41,0,0,0,0,Iris-setosa
42,0,2,0,0,Iris-setosa
43,0,3,0,1,Iris-setosa
44,1,3,0,0,Iris-setosa
45,0,2,0,0,Iris-setosa
46,1,3,0,0,Iris-setosa
47,0,2,0,0,Iris-setosa
48,1,3,0,0,Iris-setosa
49,0,2,0,0,Iris-setosa
50,3,2,3,2,Iris-versicolor
51,2,2,2,2,Iris-versicolor
52,3,2,3,2,Iris-versicolor
53,1,0,2,2,Iris-versicolor
54,3,1,3,2,Iris-versicolor
55,1,1,2,2,Iris-versicolor
56,2,2,3,3,Iris-versicolor
57,0,0,1,1,Iris-versicolor
58,3,1,3,2,Iris-versicolor
59,1,1,2,2,Iris-versicolor
60,0,0,2,1,Iris-versicolor
61,2,2,2,2,Iris-versicolor
62,2,0,2,1,Iris-versicolor
63,2,1,3,2,Iris-versicolor
64,1,1,2,2,Iris-versicolor
65,3,2,2,2,Iris-versicolor
66,1,2,2,2,Iris-versicolor
67,2,1,2,1,Iris-versicolor
68,2,0,2,2,Iris-versicolor
69,1,1,2,2,Iris-versicolor
70,2,2,3,3,Iris-versicolor
71,2,1,2,2,Iris-versicolor
72,2,1,3,2,Iris-versicolor
73,2,1,3,2,Iris-versicolor
74,2,1,2,2,Iris-versicolor
75,3,2,2,2,Iris-versicolor
76,3,1,3,2,Iris-versicolor
77,3,2,3,3,Iris-versicolor
78,2,1,2,2,Iris-versicolor
79,1,1,2,1,Iris-versicolor
80,1,0,2,2,Iris-versicolor
81,1,0,2,1,Iris-versicolor
82,2,1,2,2,Iris-versicolor
83,2,1,3,3,Iris-versicolor
84,1,2,2,2,Iris-versicolor
85,2,2,2,3,Iris-versicolor
86,3,2,3,2,Iris-versicolor
87,2,0,2,2,Iris-versicolor
88,1,2,2,2,Iris-versicolor
89,1,1,2,2,Iris-versicolor
90,1,1,2,2,Iris-versicolor
91,2,2,3,2,Iris-versicolor
92,2,1,2,2,Iris-versicolor
93,0,0,1,1,Iris-versicolor
94,1,1,2,2,Iris-versicolor
95,1,2,2,2,Iris-versicolor
96,1,1,2,2,Iris-versicolor
97,2,1,2,2,Iris-versicolor
98,1,1,1,2,Iris-versicolor
99,1,1,2,2,Iris-versicolor
100,2,2,4,4,Iris-virginica
101,2,1,3,3,Iris-virginica
102,3,2,4,4,Iris-virginica
103,2,1,3,3,Iris-virginica
104,3,2,4,4,Iris-virginica
105,4,2,4,4,Iris-virginica
106,0,1,2,3,Iris-virginica
107,4,1,4,3,Iris-virginica
108,3,1,4,3,Iris-virginica
109,4,3,4,4,Iris-virginica
110,3,2,3,3,Iris-virginica
111,2,1,3,3,Iris-virginica
112,3,2,3,4,Iris-virginica
113,1,1,3,3,Iris-virginica
114,2,1,3,4,Iris-virginica
115,2,2,3,4,Iris-virginica
116,3,2,3,3,Iris-virginica
117,4,3,4,4,Iris-virginica
118,4,1,4,4,Iris-virginica
119,2,0,3,2,Iris-virginica
120,3,2,3,4,Iris-virginica
121,1,1,3,3,Iris-virginica
122,4,1,4,3,Iris-virginica
123,2,1,3,3,Iris-virginica
124,3,2,3,4,Iris-virginica
125,4,2,4,3,Iris-virginica
126,2,1,3,3,Iris-virginica
127,2,2,3,3,Iris-virginica
128,2,1,3,4,Iris-virginica
129,4,2,4,3,Iris-virginica
130,4,1,4,3,Iris-virginica
131,4,3,4,3,Iris-virginica
132,2,1,3,4,Iris-virginica
133,2,1,3,2,Iris-virginica
134,2,1,3,2,Iris-virginica
135,4,2,4,4,Iris-virginica
136,2,2,3,4,Iris-virginica
137,2,2,3,3,Iris-virginica
138,2,2,3,3,Iris-virginica
139,3,2,3,4,Iris-virginica
140,3,2,3,4,Iris-virginica
141,3,2,3,4,Iris-virginica
142,2,1,3,3,Iris-virginica
143,3,2,4,4,Iris-virginica
144,3,2,3,4,Iris-virginica
145,3,2,3,4,Iris-virginica
146,2,1,3,3,Iris-virginica
147,3,2,3,3,Iris-virginica
148,2,2,3,4,Iris-virginica
149,2,2,3,3,Iris-virginica
